favorite_count,source,text,is_retweet,created_at,retweet_count
0,Twitter for Android,"b""What is your opinion about Brazil's president? \n\nUnfortunately, I believe that Brazil's president hates #science, #scientists, #brazilians \xf0\x9f\x98\x94 \n 1.https://t.co/byL7FdbKlY\n\n2.https://t.co/q7aYxr58AY""",False,Fri Mar 05 15:24:33 +0000 2021,0
19,Twitter Web App,b'#US #COVID19 &lt;shovelmoneyinfurnace.gif&gt; https://t.co/zAAha8c9Sm',False,Sat Mar 06 03:36:55 +0000 2021,5
7,Twitter for iPhone,b'@billcarlisle @jonnywakefield Imagine comparing COVID-19 to the flu.',False,Fri Mar 05 18:57:14 +0000 2021,0
0,Echobox,"b""Covid-19 : la mise en place d'un passeport vaccinal est-elle possible sur le plan juridique? https://t.co/TgHXatYMxV https://t.co/1HFor3qVhb""",False,Mon Mar 01 10:22:02 +0000 2021,1
0,Twitter for Android,"b'\xc3\x80 vendre : 2 tickets resto v\xc3\xa9ritables ""covintage"", bon \xc3\xa9tat, servi 1 fois, valeur 38\xe2\x82\xac et 47,50\xe2\x82\xac c\xc3\xa9d\xc3\xa9s \xc3\xa0 50\xe2\x82\xac.\nEmotion garantie, pas s\xc3\xa9rieux s\'abstenir. #COVID19 #restaurants #vintage #Emotions https://t.co/qWUncuFdxx'",False,Tue Mar 02 17:41:37 +0000 2021,0
0,Twitter for iPhone,b'IM SO FUCKING PROUD OF HER TJWJFKWKFKWKFWKDKWK https://t.co/eFT2MpzHDr',False,Thu Mar 04 14:45:44 +0000 2021,0
0,Hootsuite Inc.,"b'As many as 900,000 or more individuals or entities in every corner of the country, including Puerto Rico, qualified for CFAP payments that range from as little as a few dollars to $1 million or more. https://t.co/U4PLDG3tou'",False,Sun Mar 07 22:15:02 +0000 2021,0
0,HEDGEP,"b'Covid-19 cases rise globally for 1st time in 7 weeks, amid variant spread and easing of health measures \xe2\x80\x93 WHO chief https://t.co/C6aiyT0jWv'",False,Mon Mar 01 17:47:08 +0000 2021,0
0,WordPress.com,"b'California to allow Disneyland, Major League Baseball to reopen amid coronavirus \xe2\x80\x93 National #Englishheadline https://t.co/EyjwslHVwG'",False,Sat Mar 06 09:14:49 +0000 2021,0
0,Hootsuite Inc.,b'El lunes 8 de marzo inicia vacunaci\xc3\xb3n contra #Covid19 en la #CDMX para mayores de 60 a\xc3\xb1os \xf0\x9f\x92\x89.\n\nPor favor visita el portal: https://t.co/0wxBuDMToe',False,Sat Mar 06 16:44:50 +0000 2021,0
1,Twitter for iPhone,"b'@realKunalAShah @TheLBJSchool @timurkuran Yes, feel free to email. Though btw world events &amp; Univ closures this past year (coronavirus, TX weather, etc), all of my syllabi are moving targets....'",False,Mon Mar 01 21:19:04 +0000 2021,0
1,Hootsuite Inc.,"b'A combination of factors has led to the demand, pointing to the pandemic\xe2\x80\x99s devastating effect on the economy and how the city\xe2\x80\x99s poverty crisis has been further exposed, going \xe2\x80\x9cfrom cracks to fault lines.\xe2\x80\x9d https://t.co/mujVFjjQz8 #housingcrisis #covid19 #bcpoli'",False,Sun Mar 07 19:55:02 +0000 2021,1
1,Twitter for Android,b'Holi https://t.co/alGXQ5EoTU',False,Sun Mar 07 17:42:14 +0000 2021,0
0,Twitter for Android,b'Fortunately https://t.co/ZVdeWNOgLr',False,Fri Mar 05 19:44:03 +0000 2021,0
0,Hootsuite Inc.,b'Keep up to date with the latest #Coronavirus information in #Leicester on the @Leicester_News YourLeicester newsletter. Subscribe and read the latest newsletter here: https://t.co/YvyXYFzY6m https://t.co/EYQPLyJyHr',False,Mon Mar 01 08:30:19 +0000 2021,1
3,Twitter Web App,b'Pro B : une vie sans tambour ni trompette pour les supporters de la JAVCM (Allier) #covid19 https://t.co/eV7bSDLXiM',False,Thu Mar 04 13:40:02 +0000 2021,2
0,Twitter for iPhone,b'Remind me again about why DeSantis balked at open reporting about Florida numbers? Something about a \xe2\x80\x9ctrue numbers\xe2\x80\x9d dashboard created by an employee who got fired for speaking up? https://t.co/ENfOhqEypb',False,Sat Mar 06 20:36:37 +0000 2021,0
0,Twitter for Android,"b'Nan mais si on peut pas aller sur les Quais ou \xc3\xa0 la plage, autant tout confiner comme \xc3\xa7a on pourra apr\xc3\xa8s quand il fera encore plus chaud https://t.co/VrU7NI08Xt'",False,Wed Mar 03 18:06:36 +0000 2021,0
0,Twitter for iPad,b'I hope those are worn mask! Human stupidity is immense! https://t.co/EEPimYhtPs',False,Sat Mar 06 22:38:19 +0000 2021,0
0,WordPress.com,b'Coronavirus aux \xc3\x89tats-Unis : faut-il s\xe2\x80\x99inqui\xc3\xa9ter d\xe2\x80\x99un variant new-yorkais\xc2\xa0? https://t.co/UZVlFn4UdU',False,Tue Mar 02 19:24:55 +0000 2021,0
9,Twitter Web App,"b""#Standard-Bruges : J-1. Aucun membre du noyau li\xc3\xa9geois n'est positif au #Covid19, fait savoir le club @lavenir_sport""",False,Wed Mar 03 15:34:51 +0000 2021,7
0,Twitter Web App,b'Nope https://t.co/dGzKZLcvox',False,Mon Mar 01 13:35:19 +0000 2021,0
0,Twitter for Android,"b""@theamericanrick @NuanceBro @michaeljknowles Covid-19 Jab is not a vaccine, it's a Pathogen Creator\n\nhttps://t.co/aHKxwwzSWP\n\nhttps://t.co/sAWSDG69uG""",False,Wed Mar 03 23:04:50 +0000 2021,0
1,Twitter for iPhone,b'Effect of Ivermectin on Time to Resolution of Symptoms Among Adults With Mild COVID-19 https://t.co/nFNOSz03rp via @JAMA_current part of @JAMANetwork',False,Fri Mar 05 15:44:36 +0000 2021,0
1,Twitter for Android,"b""Il y a un mois deconfinement / r\xc3\xa9ouverture des restaurants en Italie. Aujourd'hui explosion des contaminations (qui ceci dit sont au niveau de celles de la France...) https://t.co/qhGiwNKcZO""",False,Sun Mar 07 08:56:53 +0000 2021,0
6,TweetDeck,b'The millions of Covid-19 vaccine doses that SA has been importing recently will have little impact on the looming third wave of the virus expected to hit the country in June.\n@LindileSifile\nhttps://t.co/3WooWxOgu2',False,Thu Mar 04 06:30:00 +0000 2021,10
6,Twitter Web App,"b""Today, @SanDiegoCounty is reporting 269 new COVID-19 cases. Slightly more than yesterday's shockingly good number of 262.\n\nToday's is 4% of 7,180 tests\n\nCOVID hospitalization count now below 500 for the first time November 22(479)\n\nNo new deaths today.\n\nCase rate per 100k is 15.0 https://t.co/1u6DcBl3ja""",False,Tue Mar 02 01:16:57 +0000 2021,1
220,TweetDeck,b'RIP Maevelyn Cabe Chavez https://t.co/QPz17AgtIa',False,Thu Mar 04 13:55:00 +0000 2021,25
2,Twitter Web App,"b'@MatiMatarredona @RuthPuentes7 @yorkhrich @SUgayos @Hondoncity @Joelkorean @Pau_Vega13 @sangrepublica @LiliGar68864031 @soyamp @SdeStendhal @CISALIA En Per\xc3\xba, donde lo que pueden corren a vacunarse. Igual no les ha gustado la soluci\xc3\xb3n de envenenarse con lej\xc3\xada: https://t.co/9CZNVlR5Rf'",False,Wed Mar 03 09:46:57 +0000 2021,0
4,Twitter for iPhone,"b'In other news, I just got scheduled for my second Madura shot next Wednesday. Woo hoo! It is about 12 hours after Texas lifts all of its #COVID19 restrictions including wearing a mask. I can hold my breath that long. https://t.co/4lnZWiiG3M'",False,Fri Mar 05 20:04:17 +0000 2021,1
0,Twitter for Android,b'Toujours pas... https://t.co/WzJ8ZgRo0E',False,Fri Mar 05 18:58:00 +0000 2021,0
0,Twitter Web App,b'@SGarciaSoto @fgcabezadevaca Y quien se har\xc3\xa1 responsable de mas CONTAGIOS de Covid-19',False,Mon Mar 01 21:57:11 +0000 2021,0
0,Twitter Web App,"b'@RogerB_worth @EssexPR again thanks for the info but i do understand very well viral replication and infections. What you probably dont know (and for this corona we dont know yet) is that isnt a truth for all virus, for example influenza seems to follow more virus = worst cases (https://t.co/Q4QTtbZVEF'",False,Fri Mar 05 18:48:49 +0000 2021,0
2,Twitter Web App,"b""Brought to you by the same people who didn't winterize the electricity grid. https://t.co/seJOq0lhbX""",False,Tue Mar 02 21:13:27 +0000 2021,0
0,NicaNws,"b'#RTA ""Los datos se ven bastante bien"": Fauci eval\xc3\xbaa positivamente la vacuna rusa Sputnik V contra el covid-19. El principal epidemi\xc3\xb3logo de EE.UU. habla en una entrevista de las vacunas contra el coronavirus desarrolladas en Rusia y China, as\xc3\xad c... https://t.co/R0z2T2JSay https://t.co/OJOtA89JkE'",False,Sat Mar 06 14:00:11 +0000 2021,0
